id,key,display_name,category,status,description,source,model_path,scale,preferred_biome,source_block,produced_resources,stack_limit
252128356,resource.wood,木头,resource,active,Registered resource with a stack limit of 10000,"{""Resource"":""Wood""}",,,,,,10000
3630834623,resource_node.berry_bush,resource node berry bush,resource_node,active,Registered ecology content: resource_node.berry_bush,"{""Ecology"":{""ResourceNode"":""BerryBush""}}",procedural/eco/berry_bush.glb,"0.82,0.82,0.82",Jungle,BerryThicket,273424627:resource.apple:1,
3197872499,resource_node.flower,resource node flower,resource_node,active,Registered ecology content: resource_node.flower,"{""Ecology"":{""ResourceNode"":""Flower""}}",procedural/pretty/flower_0.glb,"0.46,0.46,0.46",Jungle,,,
1394771439,resource_node.frost_crystal,resource node frost crystal,resource_node,active,Registered ecology content: resource_node.frost_crystal,"{""Ecology"":{""ResourceNode"":""FrostCrystal""}}",procedural/pretty/crystal_blue.glb,"0.9,0.9,0.9",Tundra,FrostcoreOre,3236805234:resource.frostcore:1,
1609247141,resource_node.mushroom_brown,resource node mushroom brown,resource_node,active,Registered ecology content: resource_node.mushroom_brown,"{""Ecology"":{""ResourceNode"":""MushroomBrown""}}",procedural/pretty/mushroom_brown.glb,"0.58,0.58,0.58",Jungle,,3779113125:resource.food:1,
2270473266,resource_node.mushroom_red,resource node mushroom red,resource_node,active,Registered ecology content: resource_node.mushroom_red,"{""Ecology"":{""ResourceNode"":""MushroomRed""}}",procedural/pretty/mushroom_red.glb,"0.58,0.58,0.58",Jungle,,3779113125:resource.food:1,
3920955012,resource_node.rock_mid,resource node rock mid,resource_node,active,Registered ecology content: resource_node.rock_mid,"{""Ecology"":{""ResourceNode"":""RockMid""}}",procedural/pretty/rock_mid.glb,"0.82,0.82,0.82",,Stone,1647199502:resource.stone:1,
1917969160,resource_node.rock_moss,resource node rock moss,resource_node,active,Registered ecology content: resource_node.rock_moss,"{""Ecology"":{""ResourceNode"":""RockMoss""}}",procedural/pretty/rock_moss.glb,"0.82,0.82,0.82",Jungle,LivingRoot,1510403545:resource.living_root:1,
969629842,resource_node.sunstone_crystal,resource node sunstone crystal,resource_node,active,Registered ecology content: resource_node.sunstone_crystal,"{""Ecology"":{""ResourceNode"":""SunstoneCrystal""}}",procedural/pretty/crystal_pink.glb,"0.9,0.9,0.9",Desert,SunstoneOre,3653429450:resource.sunstone:1,
4226691041,wildlife.bear,wildlife bear,wildlife,active,Registered ecology content: wildlife.bear,"{""Ecology"":{""Wildlife"":""Bear""}}",procedural/pretty/bear.glb,"0.85,0.85,0.85",Tundra,,,
853210439,wildlife.deer,wildlife deer,wildlife,active,Registered ecology content: wildlife.deer,"{""Ecology"":{""Wildlife"":""Deer""}}",animals/deer.glb,"0.85,0.85,0.85",Jungle,,,
934719624,wildlife.fox,wildlife fox,wildlife,active,Registered ecology content: wildlife.fox,"{""Ecology"":{""Wildlife"":""Fox""}}",animals/fox.glb,"0.8,0.8,0.8",Tundra,,,
1467866471,wildlife.rabbit,wildlife rabbit,wildlife,active,Registered ecology content: wildlife.rabbit,"{""Ecology"":{""Wildlife"":""Rabbit""}}",procedural/eco/rabbit.glb,"0.48,0.48,0.48",Jungle,,,
1645192171,wildlife.wolf,wildlife wolf,wildlife,active,Registered ecology content: wildlife.wolf,"{""Ecology"":{""Wildlife"":""Wolf""}}",procedural/pretty/wolf.glb,"0.7,0.7,0.7",Tundra,,,
